# Potential function.
#  r             r*V(r)
   8.673471E-02 -2.885886E+01
   8.743477E-02 -2.879579E+01
   8.883489E-02 -2.867012E+01
   9.023501E-02 -2.854505E+01
   9.163513E-02 -2.842060E+01
   9.303525E-02 -2.829676E+01
   9.443538E-02 -2.817352E+01
   9.583550E-02 -2.805089E+01
   9.723562E-02 -2.792885E+01
   9.793568E-02 -2.786806E+01
   9.863574E-02 -2.780741E+01
   9.933580E-02 -2.774692E+01
   1.000359E-01 -2.768657E+01
   1.014360E-01 -2.756631E+01
   1.028361E-01 -2.744665E+01
   1.042362E-01 -2.732757E+01
   1.056364E-01 -2.720907E+01
   1.070365E-01 -2.709115E+01
   1.084366E-01 -2.697381E+01
   1.102013E-01 -2.682673E+01
   1.110836E-01 -2.675353E+01
   1.119660E-01 -2.668055E+01
   1.128483E-01 -2.660780E+01
   1.137307E-01 -2.653528E+01
   1.146130E-01 -2.646298E+01
   1.154954E-01 -2.639090E+01
   1.163777E-01 -2.631905E+01
   1.172600E-01 -2.624741E+01
   1.181424E-01 -2.617600E+01
   1.190247E-01 -2.610481E+01
   1.199071E-01 -2.603383E+01
   1.207894E-01 -2.596308E+01
   1.225541E-01 -2.582222E+01
   1.234365E-01 -2.575212E+01
   1.243188E-01 -2.568224E+01
   1.252012E-01 -2.561257E+01
   1.260835E-01 -2.554311E+01
   1.278482E-01 -2.540485E+01
   1.287305E-01 -2.533603E+01
   1.296129E-01 -2.526743E+01
   1.304952E-01 -2.519904E+01
   1.313776E-01 -2.513086E+01
   1.322599E-01 -2.506289E+01
   1.331423E-01 -2.499513E+01
   1.340246E-01 -2.492758E+01
   1.349069E-01 -2.486024E+01
   1.357893E-01 -2.479310E+01
   1.366716E-01 -2.472618E+01
   1.377837E-01 -2.464212E+01
   1.388958E-01 -2.455838E+01
   1.400079E-01 -2.447498E+01
   1.411200E-01 -2.439189E+01
   1.422321E-01 -2.430913E+01
   1.433442E-01 -2.422669E+01
   1.455684E-01 -2.406277E+01
   1.466805E-01 -2.398129E+01
   1.477926E-01 -2.390013E+01
   1.489047E-01 -2.381928E+01
   1.500167E-01 -2.373874E+01
   1.511288E-01 -2.365852E+01
   1.522409E-01 -2.357861E+01
   1.533530E-01 -2.349901E+01
   1.544651E-01 -2.341972E+01
   1.555772E-01 -2.334074E+01
   1.566893E-01 -2.326206E+01
   1.589135E-01 -2.310562E+01
   1.600256E-01 -2.302786E+01
   1.611377E-01 -2.295040E+01
   1.622498E-01 -2.287324E+01
   1.633619E-01 -2.279638E+01
   1.644739E-01 -2.271982E+01
